id;client_id;client_username;specialist_id;specialist_username;text;voice;voice_content_type
1;7058;connect Credit Card Account;39328;Soft;Checking Account Communications Coordinator;../fake-data/blob/hipster.png;image/png
2;87591;structure Concrete;32443;Guinea-Bissau;District;../fake-data/blob/hipster.png;image/png
3;32699;Awesome;91661;Buckinghamshire maroon middleware;quantify XML;../fake-data/blob/hipster.png;image/png
4;7304;software;5823;object-oriented;mint green matrix Metal;../fake-data/blob/hipster.png;image/png
5;76372;digital Cambridgeshire Small Frozen Sausages;37100;Personal Loan Account parsing synergies;Jewelery analyzer Heard Island and McDonald Islands;../fake-data/blob/hipster.png;image/png
6;58095;Buckinghamshire SMTP;12687;Somali Shilling Avon;IB;../fake-data/blob/hipster.png;image/png
7;38879;Canadian Dollar French Guiana;80684;e-markets;Villages Cliff Fort;../fake-data/blob/hipster.png;image/png
8;40464;Lilangeni Berkshire;94578;action-items Mobility;Sri Lanka Rupee;../fake-data/blob/hipster.png;image/png
9;82089;migration yellow cross-platform;52160;International parse;backing up;../fake-data/blob/hipster.png;image/png
10;61309;Dynamic;28693;Alabama input invoice;Leone Checking Account;../fake-data/blob/hipster.png;image/png
