id;name;muscle_name;muscle_type;equipment;picture;picture_content_type;adjust_move_id
1;Tugrik;Chicken;ABS;Pizza transmitter National;../fake-data/blob/hipster.png;image/png;16604
2;programming Rustic open-source;Identity Ergonomic;TRAPEZOID;bypassing;../fake-data/blob/hipster.png;image/png;21458
3;solution;New Zealand Dollar Corporate;TRICEP;Cambridgeshire turn-key Handcrafted Plastic Chips;../fake-data/blob/hipster.png;image/png;42881
4;gold;Director Gorgeous Steel Hat compressing;BACK;Syrian Arab Republic Brand;../fake-data/blob/hipster.png;image/png;85448
5;empowering;North Carolina Fresh Kwanza;TRICEP;input Licensed;../fake-data/blob/hipster.png;image/png;59747
6;front-end Intelligent;Associate Generic Plastic Shoes hacking;LEG;internet solution sensor;../fake-data/blob/hipster.png;image/png;28847
7;parse indexing Maldives;THX programming;TRICEP;Kansas Function-based;../fake-data/blob/hipster.png;image/png;47662
8;leverage archive;Functionality Orchestrator;LEG;Books PCI Enhanced;../fake-data/blob/hipster.png;image/png;65004
9;Open-source Sleek Plastic Fish;Money Market Account collaborative Optimization;GLUTES;Auto Loan Account paradigms;../fake-data/blob/hipster.png;image/png;9221
10;Soft;24/7 Fully-configurable cross-platform;TRAPEZOID;IB;../fake-data/blob/hipster.png;image/png;125
